Wall time,Step,Value
1733650508.0868979,73,0.03333333507180214
1733651099.784609,147,0.03333333507180214
1733651702.6380534,221,0.03333333507180214
1733652294.1667125,295,0.03333333507180214
1733652889.974802,369,0.03333333507180214
1733653475.8073785,443,0.03333333507180214
1733654063.5632281,517,0.03333333507180214
1733654651.6696837,591,0.03333333507180214
1733655243.8703065,665,0.03333333507180214
1733655831.5674798,739,0.03333333507180214
1733656422.337027,813,0.03333333507180214
1733657017.6339147,887,0.03333333507180214
1733657608.409277,961,0.03333333507180214
1733658198.1193955,1035,0.03333333507180214
1733658791.6513534,1109,0.03333333507180214
1733659386.2249303,1183,0.03333333507180214
1733659981.1212957,1257,0.03333333507180214
1733660582.6727588,1331,0.03333333507180214
1733661171.2033617,1405,0.03333333507180214
1733661763.9187012,1479,0.03333333507180214
1733662352.9379416,1553,0.03333333507180214
1733662944.504319,1627,0.03333333507180214
1733663537.2372613,1701,0.03333333507180214
1733664129.0998318,1775,0.03333333507180214
1733664720.2590058,1849,0.03333333507180214
1733665312.2615058,1923,0.03333333507180214
1733665901.2983084,1997,0.03333333507180214
1733666490.6547363,2071,0.03333333507180214
1733667079.8370228,2145,0.03333333507180214
1733667665.0001645,2219,0.03333333507180214
