Wall time,Step,Value
1733650508.0868392,73,0.19741778075695038
1733651099.784545,147,0.20280884206295013
1733651702.6379893,221,0.20062503218650818
1733652294.1666355,295,0.20852304995059967
1733652889.9747407,369,0.20315225422382355
1733653475.807313,443,0.2049504816532135
1733654063.5631647,517,0.22685645520687103
1733654651.6696215,591,0.21300584077835083
1733655243.8702466,665,0.215729221701622
1733655831.567418,739,0.21643510460853577
1733656422.3369608,813,0.21689382195472717
1733657017.6338532,887,0.21895726025104523
1733657608.409216,961,0.2092761993408203
1733658198.1193323,1035,0.2250717431306839
1733658791.6512902,1109,0.20743530988693237
1733659386.2248626,1183,0.22301027178764343
1733659981.1212327,1257,0.19998733699321747
1733660582.672699,1331,0.21864813566207886
1733661171.2032933,1405,0.2243058681488037
1733661763.9186397,1479,0.2145937979221344
1733662352.9378822,1553,0.22561591863632202
1733662944.5042603,1627,0.2087341696023941
1733663537.2372012,1701,0.23487040400505066
1733664129.099773,1775,0.2285090535879135
1733664720.2589355,1849,0.23749008774757385
1733665312.26145,1923,0.22860027849674225
1733665901.2982452,1997,0.25521814823150635
1733666490.6546729,2071,0.22655947506427765
1733667079.8369637,2145,0.24162650108337402
1733667665.000108,2219,0.25948986411094666
